dif_1,dif_2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.0179934510869566,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.00555079968944111,0
0.00469312499999993,0
0,0
0,0
0,0
0,0
0,0
0,0
0.000615659937888126,0
0.00285648291925449,0
-0.00190510093167708,0
0.00122956521739125,0
-0.0088137577639753,0
-0.0298059510869566,0
-0.00309458850931685,0
0,0
0,0
0,0
0.00336750776397512,0
0,0
0.00340273291925462,0
-0.0245114440993792,0
0,0
0,0
0,0
0,0
-0.113782686335404,0
0.148848520962732,0
-0.113782686335404,0
0,0
-0.00426364130434798,0
0,0
0.00201991459627321,0
0,0
0,0
0,0
0.00404189440993785,0
0,0
0,0
0,0
0.00229114130434776,0
0,0
-0.00473192158385107,0
-0.00415717391304357,0
0.00130187499999993,0
0.00866957298136637,0
0.000937927018633499,0
0,0
0,0
0,0
0,0
-0.00028524068322987,0
0.00118770962732916,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0525148757763969,0
0.00175064440993782,0
-0.00207109472049701,0
-0.0105742857142858,0
0.00267957298136641,0
0.00223618012422354,0
0.00127641304347822,0
0.0426998136645959,0
0,0
0,0
0,0
0,0
0,0
0.0131363354037266,0
-0.00256943711180134,0
0.00249097826086951,0
0,0
0.00492072981366455,0
0.00908124999999971,0
0.00188538043478255,0
0.00185521739130429,0
0.00283215062111796,0
0.00339250776397511,0
-0.0039495225155281,0
0.00244834239130427,0
-0.00211757375776411,0
-0.00116201475155286,0
8.01979813663551e-05,0
0.00365513198757759,0
0.244783594720495,0
0,0
0.00285530667701859,0
-0.00428052795031067,0
-0.0414206366459629,0
0,0
0,0
0,0
0,0
0.0306520923913042,0
0,0
-0.00926216614906848,0
0.00498947204968937,0
0.0022639673913043,0
-0.0122397554347827,0
0,0
0.00444065217391296,0
0.00685437111801234,0
0.00274648291925459,0
0.00391975931677002,0
0.00308121118012417,0
0,0
0,0
0.00379149844720491,0
0.00247769409937883,0
-0.00269483695652182,0
0.00131768633540365,0
0,0
-0.0375971040372673,0
0.00184840062111799,0
0.0303097166149055,0
0.004865477484472,0
0.00959214285714272,0
0.00387213509316764,0
-0.00645268245341626,0
0.00345437888198755,0
0,0
0.0139163121118011,0
0,0
0,0
0,0
0,0
0,0
0.00355985248447201,0
0,0
0.00316532608695645,0
0,0
0,0
0,0
0.00250745341614899,0
0.0115409472049671,0
0.00526505434782598,0
0.0013573486024844,0
0.00402124611801237,0
0,0
-0.00353599378881995,0
